"slug","billing_period","type","regular_price","promotion_price","product_discount_id","contract_period","translation_key_id","introduction_price","orderable","action_period","action_period_price","is_default"
extension_brussels,12,registration,4099,,,12,,,true,,,false
extension_brussels,24,registration,8198,,,24,,,true,,,false
extension_brussels,36,registration,12297,,,36,,,true,,,false
extension_bs,24,registration,92399,,,24,,,true,,,true
extension_build,12,registration,4997,,,12,,,true,,,false
extension_build,24,registration,9994,,,24,,,true,,,false
extension_build,36,registration,14991,,,36,,,true,,,false
extension_builders,12,registration,3999,,,12,,,true,,,false
extension_builders,24,registration,7998,,,24,,,true,,,false
extension_builders,36,registration,11997,,,36,,,true,,,false
extension_business,12,registration,100,,6,12,,,true,,,false
extension_business,12,registration,2499,,,12,,,true,,,false
extension_business,24,registration,4998,,,24,,,true,,,false
extension_business,36,registration,7497,,,36,,,true,,,false
extension_buzz,12,registration,4999,,,12,,,true,,,false
extension_buzz,24,registration,9998,,,24,,,true,,,false
extension_buzz,36,registration,14997,,,36,,,true,,,false
extension_by,12,registration,3499,,,12,,,true,,,false
extension_by,24,registration,6998,,,24,,,true,,,false
extension_by,36,registration,10497,,,36,,,true,,,false
extension_bz,12,registration,5199,,,12,,,true,,,false
extension_bz,24,registration,10398,,,24,,,true,,,false
extension_bz,36,registration,15597,,,36,,,true,,,false
extension_ca,12,registration,3499,,,12,,,true,,,false
extension_ca,24,registration,6998,,,24,,,true,,,false
extension_ca,36,registration,10497,,,36,,,true,,,false
extension_cab,12,registration,3999,,,12,,,true,,,false
extension_cab,24,registration,7998,,,24,,,true,,,false
extension_cab,36,registration,11997,,,36,,,true,,,false
extension_cafe,12,registration,4499,,,12,,,true,,,false
extension_cafe,24,registration,8998,,,24,,,true,,,false
